"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"13276","GO:1903975",0.0341427710981263,0.988781929522644,11,19,"regulation of glial cell migration","BP"
"5243","GO:0034248",0.034193431357089,0.980277554897763,34,73,"regulation of amide metabolic process","BP"
"9735","GO:0070561",0.034216829128391,0.990530104536652,10,15,"vitamin D receptor signaling pathway","BP"
"14260","GO:1990830",0.0344199474537436,0.978276640582018,47,103,"cellular response to leukemia inhibitory factor","BP"
"1400","GO:0006310",0.034461431609389,0.973176086138282,141,351,"DNA recombination","BP"
"1296","GO:0006108",0.0344615210323496,0.993652042162644,6,9,"malate metabolic process","BP"
"10726","GO:0090068",0.0346117578493293,0.974043167105993,109,264,"positive regulation of cell cycle process","BP"
"13143","GO:1903724",0.0348180138047916,0.996701066529301,5,6,"positive regulation of centriole elongation","BP"
"12522","GO:1902110",0.0349741686747311,0.98400562812288,18,37,"positive regulation of mitochondrial membrane permeability involved in apoptotic process","BP"
"14342","GO:2000107",0.0350079977107395,0.981226417630614,27,57,"negative regulation of leukocyte apoptotic process","BP"
"4988","GO:0033139",0.0351885862889913,1,3,3,"regulation of peptidyl-serine phosphorylation of STAT protein","BP"
"6204","GO:0042501",0.0351885862889913,1,3,3,"serine phosphorylation of STAT protein","BP"
"1394","GO:0006302",0.0353263159331959,0.972644780373218,135,333,"double-strand break repair","BP"
"14322","GO:2000059",0.0354128805725046,0.980216547105413,30,65,"negative regulation of ubiquitin-dependent protein catabolic process","BP"
"1769","GO:0006885",0.0355715190840719,0.977452565377616,47,104,"regulation of pH","BP"
"9518","GO:0062237",0.0356830141583379,0.980771954631042,28,57,"protein localization to postsynapse","BP"
"8958","GO:0060612",0.0357299961865544,0.979536119911855,33,70,"adipose tissue development","BP"
"552","GO:0002277",0.0358640214403552,1,3,3,"myeloid dendritic cell activation involved in immune response","BP"
"2785","GO:0010793",0.0358972300186296,0.994422216089507,6,8,"regulation of mRNA export from nucleus","BP"
"12474","GO:1902003",0.0359755288147229,0.983405917920227,19,37,"regulation of amyloid-beta formation","BP"
"7730","GO:0048662",0.0360145669225236,0.981452276222733,24,50,"negative regulation of smooth muscle cell proliferation","BP"
"8267","GO:0051495",0.0362724506098761,0.974053553238172,82,190,"positive regulation of cytoskeleton organization","BP"
"12750","GO:1902806",0.0364126662874141,0.974391935065058,73,174,"regulation of cell cycle G1/S phase transition","BP"
"12703","GO:1902635",0.0364335981051565,1,3,3,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process","BP"
"3345","GO:0016445",0.0365894893611723,0.979109619103943,32,69,"somatic diversification of immunoglobulins","BP"
"4304","GO:0031272",0.0367024563906718,0.990537584598427,8,13,"regulation of pseudopodium assembly","BP"
"4305","GO:0031274",0.0367024563906718,0.990537584598427,8,13,"positive regulation of pseudopodium assembly","BP"
"11188","GO:0097681",0.0367225061377584,0.9925861204219,7,10,"double-strand break repair via alternative nonhomologous end joining","BP"
"7097","GO:0045957",0.036750438976646,1,3,3,"negative regulation of complement activation, alternative pathway","BP"
"9923","GO:0071236",0.0368459164916973,0.991687359601574,7,11,"cellular response to antibiotic","BP"
"4846","GO:0032868",0.0370062844385059,0.972014231737891,113,273,"response to insulin","BP"
"4380","GO:0031589",0.0370489070491315,0.970895652915401,152,363,"cell-substrate adhesion","BP"
"341","GO:0001881",0.0370596553146446,0.980791408557939,25,50,"receptor recycling","BP"
"14387","GO:2000197",0.0372774285222108,0.992444997649766,7,10,"regulation of ribonucleoprotein complex localization","BP"
"6001","GO:0039535",0.037357334286104,0.986770329493097,12,21,"regulation of RIG-I signaling pathway","BP"
"1371","GO:0006260",0.0373729839713665,0.971551344952019,118,285,"DNA replication","BP"
"7906","GO:0050767",0.0374552098904263,0.970515837676362,153,369,"regulation of neurogenesis","BP"
"4630","GO:0032465",0.0375015941441034,0.976560168647486,44,96,"regulation of cytokinesis","BP"
"7011","GO:0045815",0.0375887098444201,0.979773222546961,27,56,"transcription initiation-coupled chromatin remodeling","BP"
"1817","GO:0006968",0.0376338318407839,0.98032341130176,24,52,"cellular defense response","BP"
"9431","GO:0061819",0.0377944376299188,1,3,3,"telomeric DNA-containing double minutes formation","BP"
"14037","GO:1905764",0.0377944376299188,1,3,3,"regulation of protection from non-homologous end joining at telomere","BP"
"14038","GO:1905765",0.0377944376299188,1,3,3,"negative regulation of protection from non-homologous end joining at telomere","BP"
"7908","GO:0050769",0.0378279836253904,0.97200987708302,99,231,"positive regulation of neurogenesis","BP"
"7315","GO:0046486",0.0379299074972051,0.970004097947828,154,388,"glycerolipid metabolic process","BP"
"11308","GO:0098884",0.037937950681057,0.982959398909455,18,34,"postsynaptic neurotransmitter receptor internalization","BP"
"11452","GO:0099590",0.037937950681057,0.982959398909455,18,34,"neurotransmitter receptor internalization","BP"
"11704","GO:0140239",0.037937950681057,0.982959398909455,18,34,"postsynaptic endocytosis","BP"
"14753","GO:2000780",0.038156017306123,0.981378505665419,21,42,"negative regulation of double-strand break repair","BP"
"5710","GO:0035914",0.0382201830322189,0.977099229106685,37,81,"skeletal muscle cell differentiation","BP"
"5194","GO:0034140",0.0382521730430521,1,3,3,"negative regulation of toll-like receptor 3 signaling pathway","BP"
"5946","GO:0038128",0.0383350716326334,0.985666836384841,13,23,"ERBB2 signaling pathway","BP"
"8085","GO:0051093",0.0383665287414468,0.967027268961395,365,950,"negative regulation of developmental process","BP"
"11923","GO:0160006",0.0384433302035056,1,3,3,"Fc receptor-mediated immune complex endocytosis","BP"
"14846","GO:2001034",0.0384781393697846,0.987923609567263,10,17,"positive regulation of double-strand break repair via nonhomologous end joining","BP"
"9384","GO:0061626",0.0387540817337875,0.992066549828531,7,10,"pharyngeal arch artery morphogenesis","BP"
"893","GO:0002823",0.0387608293850251,0.977674069537469,32,70,"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"5338","GO:0034504",0.0388013204411947,0.969694727415454,140,344,"protein localization to nucleus","BP"
"1981","GO:0007272",0.0388052348978422,0.97305845844736,68,157,"ensheathment of neurons","BP"
"2180","GO:0008366",0.0388052348978422,0.97305845844736,68,157,"axon ensheathment","BP"
"3129","GO:0015780",0.0388111464936684,0.991129386642558,7,11,"nucleotide-sugar transmembrane transport","BP"
"7485","GO:0046949",0.0388963951384607,0.983928916061129,15,28,"fatty-acyl-CoA biosynthetic process","BP"
"6962","GO:0045724",0.0389970119350171,0.982622294908388,18,33,"positive regulation of cilium assembly","BP"
"6855","GO:0045445",0.0390179981547545,0.974638804019183,50,113,"myoblast differentiation","BP"
"614","GO:0002363",0.0390430537470179,0.982391306137222,18,34,"alpha-beta T cell lineage commitment","BP"
"5652","GO:0035783",0.0390531578271792,1,3,3,"CD4-positive, alpha-beta T cell costimulation","BP"
"3524","GO:0019243",0.0390613476510557,1,3,3,"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","BP"
"7522","GO:0048050",0.0392457288461603,0.994319213234281,5,7,"post-embryonic eye morphogenesis","BP"
"10846","GO:0090261",0.0392837808974863,0.996613293526747,4,5,"positive regulation of inclusion body assembly","BP"
"7742","GO:0048675",0.0392906514085157,0.974384733148013,52,113,"axon extension","BP"
"7072","GO:0045925",0.0393362216309402,1,3,3,"positive regulation of female receptivity","BP"
"12765","GO:1902850",0.0394614184209719,0.972264958281962,72,167,"microtubule cytoskeleton organization involved in mitosis","BP"
"1418","GO:0006360",0.0394621808782526,0.976919617825966,34,73,"transcription by RNA polymerase I","BP"
"7867","GO:0050654",0.0395353885856438,0.982137380868318,18,34,"chondroitin sulfate proteoglycan metabolic process","BP"
"1781","GO:0006900",0.0395686923448908,0.975798811584716,39,87,"vesicle budding from membrane","BP"
"7767","GO:0048708",0.0395812723088464,0.975790422137792,39,87,"astrocyte differentiation","BP"
"7040","GO:0045861",0.0396958034255368,0.97287853569539,60,146,"negative regulation of proteolysis","BP"
"7793","GO:0048771",0.0397429030809174,0.971637756119292,77,183,"tissue remodeling","BP"
"3251","GO:0016049",0.0398461665393835,0.967621042805752,194,486,"cell growth","BP"
"14699","GO:2000678",0.0399526920099155,1,3,3,"negative regulation of transcription regulatory region DNA binding","BP"
"10245","GO:0071895",0.040136428931804,0.986874449253701,11,18,"odontoblast differentiation","BP"
"12752","GO:1902808",0.0401628551221374,0.978132671609689,27,57,"positive regulation of cell cycle G1/S phase transition","BP"
"4036","GO:0030101",0.0402600484389577,0.974368855798985,43,105,"natural killer cell activation","BP"
"13144","GO:1903725",0.0403222687389384,0.981357116083421,18,36,"regulation of phospholipid metabolic process","BP"
"6093","GO:0042254",0.0403376670212224,0.968997263320216,116,310,"ribosome biogenesis","BP"
"5828","GO:0036297",0.0404491113458831,0.980110136355728,21,42,"interstrand cross-link repair","BP"
"11137","GO:0097401",0.0406463578783202,0.986647802247178,10,18,"synaptic vesicle lumen acidification","BP"
"14459","GO:2000319",0.0406801231922462,0.983072452551569,15,28,"regulation of T-helper 17 cell differentiation","BP"
"4281","GO:0031123",0.0406855553468529,0.974569155325689,42,94,"RNA 3'-end processing","BP"
"14246","GO:1990778",0.0408649886270923,0.967841137965616,146,359,"protein localization to cell periphery","BP"
"6372","GO:0043086",0.04094518003546,0.971318546025318,68,164,"negative regulation of catalytic activity","BP"
"4374","GO:0031579",0.0410279351723553,0.982659591387114,15,29,"membrane raft organization","BP"
"12324","GO:1901532",0.0410295537933694,0.979787389524854,21,42,"regulation of hematopoietic progenitor cell differentiation","BP"
"8774","GO:0060348",0.0410828034375065,0.969757558678123,92,218,"bone development","BP"
"5352","GO:0034614",0.0411058585555103,0.971928635161992,59,144,"cellular response to reactive oxygen species","BP"
"5303","GO:0034394",0.0411309592675023,0.976522369586079,31,66,"protein localization to cell surface","BP"
"4124","GO:0030388",0.0415440523116709,0.991941508835186,6,9,"fructose 1,6-bisphosphate metabolic process","BP"
"12492","GO:1902042",0.0417192647650986,0.982097159437126,15,30,"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP"
"14935","GO:2001280",0.0417589174564551,0.990277679164963,7,11,"positive regulation of unsaturated fatty acid biosynthetic process","BP"
"1724","GO:0006808",0.0417869380730092,1,3,3,"regulation of nitrogen utilization","BP"
"6214","GO:0042552",0.0418210195662184,0.970891308166523,67,155,"myelination","BP"
"7970","GO:0050868",0.0419006622074433,0.971395723620435,59,142,"negative regulation of T cell activation","BP"
"1636","GO:0006659",0.041961565255499,1,3,3,"phosphatidylserine biosynthetic process","BP"
"544","GO:0002266",0.041993901812882,1,3,3,"follicular dendritic cell activation","BP"
"1216","GO:0005980",0.0420015686907351,0.98271526815629,15,27,"glycogen catabolic process","BP"
"9377","GO:0061614",0.0420042875752741,0.974976712198091,36,76,"miRNA transcription","BP"
"12787","GO:1902903",0.0421312881625688,0.966498793812848,158,387,"regulation of supramolecular fiber organization","BP"
"14822","GO:2000973",0.0421825529048393,0.993133328383357,6,8,"regulation of pro-B cell differentiation","BP"
"3806","GO:0021702",0.042455081260355,0.988149659895174,9,14,"cerebellar Purkinje cell differentiation","BP"
"5362","GO:0034644",0.0424977408692026,0.973581111267052,40,91,"cellular response to UV","BP"
"5995","GO:0039529",0.0426155224498917,0.982754784001866,14,26,"RIG-I signaling pathway","BP"
"1516","GO:0006513",0.0426164261731346,0.976134342083337,29,61,"protein monoubiquitination","BP"
"11732","GO:0140374",0.042637722497636,0.974546567201224,35,77,"antiviral innate immune response","BP"
"12239","GO:1901203",0.042710811567453,0.991032138978319,7,10,"positive regulation of extracellular matrix assembly","BP"
"14758","GO:2000786",0.0427117615138158,0.983727457961731,13,23,"positive regulation of autophagosome assembly","BP"
"2546","GO:0010040",0.0428533585266775,0.993622324942095,5,7,"response to iron(II) ion","BP"
"13411","GO:1904292",0.04298026004774,0.982582576984183,14,26,"regulation of ERAD pathway","BP"
"4142","GO:0030502",0.0430500437272008,0.985217665869377,11,19,"negative regulation of bone mineralization","BP"
"6446","GO:0043309",0.0430570660571176,1,3,3,"regulation of eosinophil degranulation","BP"
"13063","GO:1903540",0.0430635410935109,0.986759488759878,10,16,"establishment of protein localization to postsynaptic membrane","BP"
"229","GO:0001666",0.0431177051291853,0.966717089366562,122,303,"response to hypoxia","BP"
"201","GO:0001556",0.0431688825815001,0.979403161057922,19,38,"oocyte maturation","BP"
"2881","GO:0010948",0.0432722923861821,0.966702290544316,120,294,"negative regulation of cell cycle process","BP"
"6475","GO:0043373",0.0434319801174036,0.980614040496489,17,32,"CD4-positive, alpha-beta T cell lineage commitment","BP"
"12196","GO:1901071",0.0434887784522972,0.982342030266559,14,26,"glucosamine-containing compound metabolic process","BP"
"12232","GO:1901186",0.0435033822424099,0.980351986787652,17,33,"positive regulation of ERBB signaling pathway","BP"
"3167","GO:0015835",0.043610827694019,1,3,3,"peptidoglycan transport","BP"
"1836","GO:0007006",0.0436812777106278,0.971385192068558,47,116,"mitochondrial membrane organization","BP"
"12403","GO:1901798",0.0438318650502094,0.979786606408077,17,35,"positive regulation of signal transduction by p53 class mediator","BP"
"2687","GO:0010631",0.0439588161355728,0.972007740818364,45,98,"epithelial cell migration","BP"
"6207","GO:0042532",0.0440101999006018,1,3,3,"negative regulation of tyrosine phosphorylation of STAT protein","BP"
"7471","GO:0046890",0.0441557740857142,0.968142768944902,78,189,"regulation of lipid biosynthetic process","BP"
"4657","GO:0032497",0.0441735175449363,0.996022388848362,4,5,"detection of lipopolysaccharide","BP"
"11296","GO:0098840",0.0443167631303266,0.987510954195921,9,14,"protein transport along microtubule","BP"
"11382","GO:0099118",0.0443167631303266,0.987510954195921,9,14,"microtubule-based protein transport","BP"
"8409","GO:0051896",0.0444024860900568,0.965818170006016,120,291,"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP"
"6544","GO:0043516",0.0444267715883432,0.978547737424607,19,39,"regulation of DNA damage response, signal transduction by p53 class mediator","BP"
"6064","GO:0042130",0.0444770966942162,0.973274051990879,35,78,"negative regulation of T cell proliferation","BP"
"12477","GO:1902017",0.0445643722267441,0.97337324655485,36,75,"regulation of cilium assembly","BP"
"1398","GO:0006308",0.0445655606361276,0.979910524920817,16,33,"DNA catabolic process","BP"
"12568","GO:1902236",0.0447200807824632,0.983235453031521,12,22,"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","BP"
"4170","GO:0030641",0.0447906064735114,0.971817576543952,42,93,"regulation of cellular pH","BP"
"10268","GO:0071960",0.0449462414475526,1,2,2,"maintenance of mitotic sister chromatid cohesion, centromeric","BP"
"14715","GO:2000718",0.0449462414475526,1,2,2,"regulation of maintenance of mitotic sister chromatid cohesion, centromeric","BP"
"1076","GO:0003190",0.044954098101604,0.99254435873164,6,8,"atrioventricular valve formation","BP"
"13780","GO:1905098",0.0450803591638591,0.995909737155865,4,5,"negative regulation of guanyl-nucleotide exchange factor activity","BP"
"10756","GO:0090110",0.04511092007156,0.98436886194393,11,19,"COPII-coated vesicle cargo loading","BP"
"2550","GO:0010044",0.0452785120870638,1,3,3,"response to aluminum ion","BP"
"4049","GO:0030168",0.0453054230302663,0.968853975120604,61,141,"platelet activation","BP"
"3592","GO:0019482",0.0453786349318963,1,3,3,"beta-alanine metabolic process","BP"
"11751","GO:0140507",0.0454663593567174,0.988366051673938,7,12,"granzyme-mediated programmed cell death signaling pathway","BP"
"8844","GO:0060439",0.0454744747870812,0.989179845907914,7,11,"trachea morphogenesis","BP"
"1780","GO:0006898",0.0455433017629243,0.965219720304096,111,273,"receptor-mediated endocytosis","BP"
"11013","GO:0097037",0.04554626834875,1,3,3,"heme export","BP"
"4696","GO:0032611",0.0456204069910929,0.970956944453981,42,99,"interleukin-1 beta production","BP"
"4726","GO:0032651",0.0456204069910929,0.970956944453981,42,99,"regulation of interleukin-1 beta production","BP"
"1253","GO:0006040",0.0457868164672972,0.976958733141109,21,43,"amino sugar metabolic process","BP"
"3342","GO:0016358",0.0458201791832078,0.965523537283048,103,241,"dendrite development","BP"
"14836","GO:2001016",0.0459007967530813,0.993017352315138,5,7,"positive regulation of skeletal muscle cell differentiation","BP"
"5107","GO:0033623",0.0461768170460158,0.984958053555209,10,17,"regulation of integrin activation","BP"
"5925","GO:0038094",0.0462108894252808,0.978216819325475,18,36,"Fc-gamma receptor signaling pathway","BP"
"12683","GO:1902600",0.046320452524404,0.96680933078989,69,187,"proton transmembrane transport","BP"
"11141","GO:0097411",0.0463673720710164,0.992923444938161,5,7,"hypoxia-inducible factor-1alpha signaling pathway","BP"
"11699","GO:0140214",0.0464542520509089,1,3,3,"positive regulation of long-chain fatty acid import into cell","BP"
"5192","GO:0034138",0.0464902460068893,0.981645380142303,13,24,"toll-like receptor 3 signaling pathway","BP"
"4198","GO:0030851",0.0465000432224464,0.976552307171527,21,43,"granulocyte differentiation","BP"
"8358","GO:0051709",0.0467002816358189,0.995706173768946,4,5,"regulation of killing of cells of another organism","BP"
"124","GO:0000723",0.0467281486239574,0.966921422778748,69,165,"telomere maintenance","BP"
"10556","GO:0072592",0.0467500893102791,0.992846164573912,5,7,"oxygen metabolic process","BP"
"11305","GO:0098877",0.0467989959849804,0.985357393990541,10,16,"neurotransmitter receptor transport to plasma membrane","BP"
"11288","GO:0098813",0.0468537847592375,0.963419103697176,129,321,"nuclear chromosome segregation","BP"
"6974","GO:0045742",0.046882211623676,0.979153925229334,16,31,"positive regulation of epidermal growth factor receptor signaling pathway","BP"
"1830","GO:0006997",0.0468925940483898,0.967077504234974,67,156,"nucleus organization","BP"
"6869","GO:0045577",0.0469874192762539,0.977797692547456,18,36,"regulation of B cell differentiation","BP"
"11852","GO:0141201",0.0470285357683423,0.985195882592011,9,16,"pyroptotic cell death","BP"
"7693","GO:0048588",0.0470406913751817,0.964815281263967,98,229,"developmental cell growth","BP"
"14721","GO:2000725",0.0470660014881943,0.985256130357257,10,16,"regulation of cardiac muscle cell differentiation","BP"
"1866","GO:0007052",0.0472963135441532,0.967705325380919,58,134,"mitotic spindle organization","BP"
"2627","GO:0010510",0.0473273323664279,0.990475417059602,6,9,"regulation of pyruvate decarboxylation to acetyl-CoA","BP"
"10813","GO:0090199",0.0474096276230917,0.975874455580281,20,45,"regulation of release of cytochrome c from mitochondria","BP"
"11231","GO:0098609",0.0474509392680247,0.958855513535949,383,986,"cell-cell adhesion","BP"
"10002","GO:0071375",0.0474760232368356,0.962658345859643,137,338,"cellular response to peptide hormone stimulus","BP"
"1017","GO:0003093",0.0475074968509019,0.98856809418496,7,11,"regulation of glomerular filtration","BP"
"6884","GO:0045596",0.0475735551722303,0.959849826358959,267,690,"negative regulation of cell differentiation","BP"
"11347","GO:0098967",0.04761131264047,1,3,3,"exocytic insertion of neurotransmitter receptor to postsynaptic membrane","BP"
"348","GO:0001893",0.0476882047674478,0.977418479973087,18,36,"maternal placenta development","BP"
"12394","GO:1901741",0.0477036150134556,0.984936875550968,9,16,"positive regulation of myoblast fusion","BP"
"9885","GO:0071071",0.0478052244017622,0.983773280210058,10,18,"regulation of phospholipid biosynthetic process","BP"
"1831","GO:0006998",0.0478341724817315,0.972772115213282,29,62,"nuclear envelope organization","BP"
"14178","GO:1990418",0.0481588222143557,1,3,3,"response to insulin-like growth factor stimulus","BP"
"1518","GO:0006516",0.0481844980218888,0.976953319458742,18,37,"glycoprotein catabolic process","BP"
"14844","GO:2001032",0.0482166186563345,0.979091810018317,15,29,"regulation of double-strand break repair via nonhomologous end joining","BP"
"5523","GO:0035459",0.0482387716124044,0.976827485409318,19,37,"vesicle cargo loading","BP"
"4218","GO:0030890",0.0484537615320511,0.974739272551089,22,47,"positive regulation of B cell proliferation","BP"
"7099","GO:0045959",0.0487911485120048,0.992430237920036,5,7,"negative regulation of complement activation, classical pathway","BP"
"2412","GO:0009411",0.0488741924703962,0.965567425139653,66,158,"response to UV","BP"
"7721","GO:0048641",0.048910818070169,0.980169712666596,13,25,"regulation of skeletal muscle tissue development","BP"
"5210","GO:0034159",0.0490794878934333,1,3,3,"regulation of toll-like receptor 8 signaling pathway","BP"
"5211","GO:0034161",0.0490794878934333,1,3,3,"positive regulation of toll-like receptor 8 signaling pathway","BP"
"1878","GO:0007080",0.0491721766976904,0.971925372539341,29,62,"mitotic metaphase chromosome alignment","BP"
"2197","GO:0008610",0.0491983461917867,0.958230874039389,280,738,"lipid biosynthetic process","BP"
"49","GO:0000280",0.0492865914417141,0.959966849464087,176,449,"nuclear division","BP"
"6999","GO:0045786",0.0494210842893727,0.960633729425479,149,372,"negative regulation of cell cycle","BP"
"11244","GO:0098693",0.0495173584006938,0.984882931461385,9,15,"regulation of synaptic vesicle cycle","BP"
"12793","GO:1902914",0.0497675235501617,0.97871607395535,14,28,"regulation of protein polyubiquitination","BP"
"1083","GO:0003203",0.0498729934944515,0.974977111877796,21,41,"endocardial cushion morphogenesis","BP"
"4975","GO:0033089",0.0499246513733496,0.987830894292582,7,11,"positive regulation of T cell differentiation in thymus","BP"
