"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"13272","GO:1903969",0.0213514013956366,0.998266264348338,5,6,"regulation of response to macrophage colony-stimulating factor","BP"
"13274","GO:1903972",0.0213514013956366,0.998266264348338,5,6,"regulation of cellular response to macrophage colony-stimulating factor stimulus","BP"
"6775","GO:0045060",0.0213902471304935,0.995478579932891,8,12,"negative thymic T cell selection","BP"
"176","GO:0001503",0.0214286036941814,0.983242764984403,173,423,"ossification","BP"
"1692","GO:0006743",0.0214864639235186,0.993087965815026,12,21,"ubiquinone metabolic process","BP"
"12137","GO:1900408",0.0215085558865493,1,4,4,"negative regulation of cellular response to oxidative stress","BP"
"52","GO:0000289",0.0215385253604854,0.991281818128059,18,32,"nuclear-transcribed mRNA poly(A) tail shortening","BP"
"9694","GO:0070434",0.0215514719639774,0.99824501177168,5,6,"positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"540","GO:0002262",0.0215549723672594,0.984952931180339,83,198,"myeloid cell homeostasis","BP"
"4119","GO:0030330",0.0215924534700077,0.987646535938609,38,82,"DNA damage response, signal transduction by p53 class mediator","BP"
"14919","GO:2001243",0.021594562680356,0.986726226641939,48,108,"negative regulation of intrinsic apoptotic signaling pathway","BP"
"5226","GO:0034205",0.0218857050872247,0.989725155922333,23,45,"amyloid-beta formation","BP"
"6474","GO:0043372",0.0219644175784102,0.990374012123387,20,38,"positive regulation of CD4-positive, alpha-beta T cell differentiation","BP"
"6366","GO:0043066",0.0220472065871894,0.981456422015257,335,878,"negative regulation of apoptotic process","BP"
"1629","GO:0006650",0.0221425608999189,0.983454646860052,123,298,"glycerophospholipid metabolic process","BP"
"9729","GO:0070536",0.0221487899817699,0.991580060127367,16,28,"protein K63-linked deubiquitination","BP"
"8086","GO:0051094",0.0221745601796081,0.980745902890715,516,1336,"positive regulation of developmental process","BP"
