"","SRR4785988.sorted.bam","SRR4785986.sorted.bam","SRR4785980.sorted.bam","SRR4785979.sorted.bam","SRR4785831.sorted.bam","SRR4785828.sorted.bam","SRR4785820.sorted.bam","SRR4785819.sorted.bam"
"SLC35E2A",0,0,0,0,0,0,0,0
"LOC100129381",0,0,0,0,0,0,0,0
"LOC112268218",0,0,0,0,0,0,0,0
"NADK",0,0,0,0,0,0,0,0
"GNB1",0,0,0,0,0,0,0,0
"GNB1-DT",0,0,0,0,0,0,0,0
"LOC124903822",0,0,0,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0
"TMEM52",0,0,0,0,0,0,0,0
"CFAP74",0,0,0,0,0,0,0,0
"LOC107984872",0,0,0,0,0,0,0,0
"LOC105378589",0,0,0,0,0,0,0,0
"GABRD",0,0,0,0,0,0,0,0
"LOC105378590",0,0,0,0,0,0,0,0
"PRKCZ",0,0,0,0,0,0,0,0
"PRKCZ-DT",0,0,0,0,0,0,0,0
"PRKCZ-AS1",0,0,0,0,0,0,0,0
"FAAP20",0,0,0,0,0,0,0,0
"LOC112268219",0,0,0,0,0,0,0,0
"LOC105378593",0,0,0,0,0,0,0,0
"LOC124903823",0,0,0,0,0,0,0,0
"SKI",0,0,0,0,0,0,0,0
"LOC124903824",0,0,0,0,0,0,0,0
"MORN1",0,0,0,0,0,0,0,0
"LOC100129534",0,0,0,0,0,0,0,0
"RER1",0,0,0,0,0,0,0,0
"PEX10",0,0,0,0,0,0,0,0
"PLCH2",0,0,0,0,0,0,0,0
"PANK4",0,0,0,0,0,0,0,0
"HES5",0,0,0,0,0,0,0,0
"TNFRSF14-AS1",0,0,0,0,0,0,0,0
"TNFRSF14",0,0,0,0,0,0,0,0
"LOC100996583",0,0,0,0,0,0,0,0
"PRXL2B",0,0,0,0,0,0,0,0
"MMEL1",0,0,0,0,0,0,0,0
"MMEL1-AS1",0,0,0,0,0,0,0,0
"TTC34",0,0,0,0,0,0,0,0
"LOC105378602",0,0,0,0,0,0,0,0
"LOC105378601",0,0,0,0,0,0,0,0
"LOC112268220",0,0,0,0,0,0,0,0
"LOC107985732",0,0,0,0,0,0,0,0
"LOC105378600",0,0,0,0,0,0,0,0
"LOC105378598",0,0,0,0,0,0,0,0
"LOC107984904",0,0,0,0,0,0,0,0
"LOC105378599",0,0,0,0,0,0,0,0
"LOC124903825",0,0,0,0,0,0,0,0
"LOC124903826",0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0
"LOC124903827",0,0,0,0,0,0,0,0
"PRDM16-DT",0,0,0,0,0,0,0,0
"PRDM16",0,0,0,0,0,0,0,0
"LOC100420339",0,0,0,0,0,0,0,0
"MIR4251",0,0,0,0,0,0,0,0
"LOC105378606",0,0,0,0,0,0,0,0
"LOC107984909",0,0,0,0,0,0,0,0
"LOC105378605",0,0,0,0,0,0,0,0
"LOC124903828",0,0,0,0,0,0,0,0
"LOC105378604",0,0,0,0,0,0,0,0
"ARHGEF16",0,0,0,0,0,0,0,0
"MEGF6",0,0,0,0,0,0,0,0
"LOC105378608",0,0,0,0,0,0,0,0
"MIR551A",0,0,0,0,0,0,0,0
"TPRG1L",0,0,0,0,0,0,0,0
"WRAP73",0,0,0,0,0,0,0,0
"TP73",0,0,0,0,0,0,0,0
"TP73-AS3",0,0,0,0,0,0,0,0
"TP73-AS2",0,0,0,0,0,0,0,0
"GFOD3P",0,0,0,0,0,0,0,0
"CCDC27",0,0,0,0,0,0,0,0
"SMIM1",0,0,0,0,0,0,0,0
"LRRC47",0,0,0,0,0,0,0,0
"RN7SL574P",0,0,0,0,0,0,0,0
"CEP104",0,0,0,0,0,0,0,0
"LOC124903829",0,0,0,0,0,0,0,0
"DFFB",0,0,0,0,0,0,0,0
"C1orf174",0,0,0,0,0,0,0,0
"LINC01134",0,0,0,0,0,0,0,0
"LINC01346",0,0,0,0,0,0,0,0
"LINC01345",0,0,0,0,0,0,0,0
"LINC02780",0,0,0,0,0,0,0,0
"EEF1DP6",0,0,0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0,0,0
"LOC105376674",0,0,0,0,0,0,0,0
"LOC124904578",0,0,0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,0,0
"LINC02781",0,0,0,0,0,0,0,0
"LOC124904589",0,0,0,0,0,0,0,0
"LOC102724429",0,0,0,0,0,0,0,0
"LINC02782",0,0,0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0,0,0
"LOC124904590",0,0,0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0,0,0
"LOC105376686",0,0,0,0,0,0,0,0
"LOC124900451",0,0,0,0,0,0,0,0
"LOC124903830",0,0,0,0,0,0,0,0
"MIR4689",0,0,0,0,0,0,0,0
